District,Latitude,Longitude,Shop_type,OP_time,Ultra_food,Per_ultra,Ready_food,CERE,WHITE,VITAMINV,VITAMINRT,DARKV,OTHERV,VITAMINF,OTHERF,ORGANM,FLESHM,FISH,INSECTSV,EGGS,MILK,NUTS,LEGUM,OILF,SWEETS,SAB,OUT_CER
1,21.039106,105.828768,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.004382,105.827192,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.004372,105.82679,5,4,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.020669,105.826253,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,21.012641,105.823315,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.023058,105.819531,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,21.027995,105.813943,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.028161,105.813816,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.038322,105.812821,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.012414,105.812176,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.040285,105.848123,8,4,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.041149,105.8462,8,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.040824,105.845816,8,4,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.025058,105.837087,8,4,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.037781,105.826722,8,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.026496,105.821859,8,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.024337,105.81785,8,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.027732,105.815357,8,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.020137,105.811712,8,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.037202,105.827897,4,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
1,21.040314,105.846724,5,3,1,10,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
2,21.027187,105.835827,5,1,1,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2,21.012516,105.81233,5,2,1,15,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
1,21.040318,105.844024,5,3,1,20,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
1,21.043914,105.842188,5,2,1,30,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.010344,105.818405,3,3,1,30,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1
1,21.021282,105.81401,5,3,1,30,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
2,21.02725,105.840222,5,1,1,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
1,21.032513,105.821199,5,2,1,40,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1,21.034736,105.827838,5,4,1,40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.01438,105.81,5,1,1,50,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1
2,21.011766,105.820856,4,4,1,50,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
1,21.027338,105.814485,3,2,1,60,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
1,21.041996,105.843846,4,4,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
1,21.040382,105.812883,5,2,1,70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.009588,105.81649,4,4,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1,21.040369,105.84613,5,4,1,70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2,21.027196,105.835739,5,2,1,75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
1,21.028834,105.808171,5,2,1,80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.025235,105.839868,4,4,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,21.040373,105.846047,5,4,1,80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
2,21.011337,105.824751,5,4,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,21.041642,105.810979,5,4,1,80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.006934,105.823132,5,1,1,100,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.005538,105.830886,5,2,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,21.019182,105.837437,5,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,21.014955,105.827856,5,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,21.008549,105.826439,5,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,21.034753,105.827935,4,4,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2,21.027578,105.838958,5,4,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,21.005923,105.834091,5,4,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,21.020142,105.81181,8,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.018142,105.833526,8,4,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,21.032441,105.831103,8,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.037158,105.828039,8,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21.025121,105.821342,8,4,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,21.021178,105.816142,8,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,21.02595,105.815522,8,4,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2,21.027363,105.828445,8,3,1,70,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,21.009343,105.816268,8,3,1,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,21.034721,105.827917,8,4,1,80,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.0002134,105.49,8,1,1,100,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,21.027467,105.828542,8,3,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,21.037787,105.826541,8,3,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.019167,105.827665,8,4,1,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,21.020011,105.811918,8,4,1,100,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.013107,105.822962,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,21.021425,105.837514,5,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,21.020695,105.837429,5,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
2,21.022245,105.823579,4,3,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0
2,21.026579,105.838515,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.022335,105.828955,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.00513,105.825821,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21.021721,105.837432,7,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0
1,21.037312,105.826286,8,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2,21.013037,105.822893,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.037079,105.828272,4,3,1,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2,21.005384,105.825701,6,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0
